"entity_name","full_zapper_link"
"Vương MC","https://zapper.xyz/bundle/0xdac65d9157fa73a5f6ccabb69528930dabd1454b,7bYZQKZCzhYHYsLTAMhuVHry5D2HX4XF7HhPtJhGYEkY,0xe575ff507bbde43aa48315312365253304dfbe63,0xeb7ebb79ca2cbdce88bb00adb3ca61e13ea95fe3,C2F2oSr5koEeRg7XspS4Fudv2UkfGjHttNv1oLhooEh8,4nzGA4j6SBjxgSPS2LvRkatM6ZszPUojphPQvrtsiRc5,0x6b9d8238cc4001190190b3f1359f2d92286dcde7,0xf42f1c75be9f251cb7c14684be0045df7f61417a,0xa5a19e03b838b1ba624dfcaa99ae526b06e06a2a,0x98f2105f92a12885eab8ec144653eb215062d9e1?id=0x03355795d3aae760415a8c50a1101a7edf8284d5&label=V%C6%B0%C6%A1ng%20MC&icon=%F0%9F%8D%94&tab=wallet"
"Smart Whale 🤓 | Funded from 0xDQ","https://zapper.xyz/bundle/0x7c976f00e84db0b44f945fc6d7fad34b43150a1a,0xf855aa266f7106a1765c1349c434fbca2fb71af3,0x3053530abc03731bc78de738f607748435f4796d,0xba474ab1642101968633525fb117fa12c5bcb4e6?id=0xca3405733cb95931ea39731029c427b3c92b8ea0&label=Smart%20Whale%7C%20Funded%20from%200xDQ%20&icon=%F0%9F%90%BB&tab=wallet"
"Small Cap Science","https://zapper.xyz/bundle/0x733246bcee1d39f3cae699a1f1cffc97d67d2e57,0x8c5d71cb2dd70eb5cd284faef49159d200eef1d6,0x4e9a093edaf611ce37af3761e112216c4fb47da6,0xd4a8f63d3626d23b6ec760b1256cecef88213589,0x399d4e22eac6f594ed04350be4de0e9159939be5,0x7be1536484cb556e47503189f964621c6d86c19e,0x93f8e02c6cf992e262069d5f5bb9b80033a5ce77,0x7930cd1c47e10a49b07e10913a14411060c7a5a0,0xaace1ae8c87c0881c2fe6707274dab0e109d388d,0x6e8b25878f6f32a8763e2244e0056233d91cd05c,0x060f6529e7da2d0d95bd5626b0084069659fad07,0x512e3eb472d53df71db0252cb8dccd25cd05e9e9,0x2d5bc78268514e928ffba1e3ea3d8e7275113809,0x08850708d269ca28bec25d683af3fe5ec5a50417,0xdf448fa84e2d982ba95955ccc46795cb1e6a8a23?id=0x13b503efeb4155779d1ade98c937a5985fbd34fc&label=Small%20Cap%20Science&color=&tab=wallet"
"ImBallzy","https://zapper.xyz/bundle/0x39c3492e9171872eac6a99d9c0b6dbae5d4ae959,0xa08fc2039614e5d33217f5535f30cd03891c884d,0x6f7a6151781f9feac839a7c1d69fc029d654ffc5,0x9823c9d53c188150ef06e8f1a5d9bacf56ed3642,0x08c8315549f059ab63e95d0c70770582e2fa80cb,sKco3wGagFJ4V1GUdnMEadnvC392XhAXkw3jBfH1HxG,9UaWXa4gCMza8FYFVXHe3NApoiCCia29r4CQ125S6G4b?id=0xac4c73210d33be42abd3677cc6071075415ce0a0&label=ImBallzy&icon=%F0%9F%92%8E&tab=wallet"
"Hansolar","https://zapper.xyz/bundle/0xaabdf7aa6830da9e6d3ed00aeb82ae401233ea49,0x9b8d146ab4b61c281b993e3f85066249a6e9b0db,JBEkiMyzReAGbL5NnNaXFeSEFzbbJJNbCZsg3Gy6Qijn,0x3612dc0373179c8b79f9cbabf996e9d4d9b36835?id=0xb618af9ee8e3ac1e97906d2fd7470cf37286bbbe&label=Hansolar&icon=%F0%9F%9A%80&tab=wallet"
"CJCJCJ","https://zapper.xyz/bundle/0x4bd883055bd502e7ab58a88da4854194373beeb5,0x3d0ed8ee57e56482b6d5bd9e958aa4ba088d29ec,0x7669ea2a0c0edbcdd505246a991c3afdbbdfface,0x6b34e50bdfc20a0869bf28249bac24d12cc3fbbd,0xf7ab7ee34f909bd88e162900b3c1980b37e8d106,0xb81b7dad6857fbfe525080ee0b22b3da82a53967,0x43243549d0451f5a1be98b9e5ae3506588d7d483,H92YgAi3XdeqvYjjvMxBEFY933rY4UAre8vQMfpfqyx9,0x9aa1c4e5ff46e54dde56e802504aad9b96aefd7f,0x8aab0fdac0413b8c0492e2e8d95c10b319fb10c6?id=0x66ab00f0c9e725db10652f157fab912a110664d1&label=CJCJCJ&color=&tab=wallet"
"PuggyTrades | Gem Holder","https://zapper.xyz/bundle/0x20e85118f45e08a2ddb9540ca30e703eee150299,0xbb61c94456d2102d4e9f3cc27d91fe253bfef58e,0x726d47431854ac61a5545b87800109f55fce92ba,0xc423fe99433fbc490f1812d71dc84a0b307bbb22,BiozYn55Y7p1Sbi83n93zS3Tm5EHHXMGKC9EQfSvg2So,DASWiFZWTZntY1oQjsgS8bYVqmfgMmRGvvNu2wuvMNYU?id=0x7641ae6b80381da31e1137adb6fa924a5c98e969&label=Pro%20Gem%20Finder%20%7C%20Coinsense&icon=%F0%9F%8E%A9&tab=wallet"
"JoshuaDeuk","https://zapper.xyz/bundle/0xdb08ac96cebf55e7435bb8b5a3bc4ba41a4b3d29,0xceb333468c036c3a824ba417ebd4f41f6c10b1a5,0x9ec81ddd7137beaaf33553ef762164efba56235f,3owCUhYDeVbETji5qN8yGXakPo3m44ZZkriV1JpiCNWe,7z9bE7yseSkqZaLmkjAQm4QSM39pLRL6tQxqCZqGdBbd,BtQ4Tx6dZSzN7igigjmENHa5jF8oycNxDxBR9zA4Qfk9,DhCWs1eSeiF3D5a5ZGQwWbfzSKEzuFvMFDh4ay9V5etE?id=0x9c23608585310f102152d24caaad857fc1a7fe0f&label=JoshuaDeuk&icon=%E2%9C%8C%EF%B8%8F&tab=wallet"
"Fundedbysisterofvitalik (0xdyoooor) | Dewhales","https://zapper.xyz/bundle/0x9f0b2a1ce3fd3ee126e96f2d5c0efd6badf70f78,0xd9e391abe558d10f7b9e5b99f3dd61cc37921782,0x882dfa27938e4698f2abbef869b1ebe97bf878dc,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,0xbb030a0408edc41f3c61ba3f132c06e93eda68f4,Bh8hrvHnmHz3AzemJ2FLLwwHUFeK92UfBDeeprjnvkAH,BH84Uo2YAnyWRUWeWyfFzttRmE51V682xUaD6NrLHM88,8nwmfKFhQXJhKpzxsyDKLtRava8iJWgvbc2dVKsxcQDh,A6DurJbMkzDYhZmnrwndVbRfWNfmLrnsy6LJztPDX77w,BGSLvBb6Rn4r21skKtRyE8NPXvkmkbUdNtDqGhTDWTe5?id=0xdbdec7f3c31a79f9af932515ff564d82b1f194d0&label=0xdyooor&icon=%F0%9F%91%80&tab=wallet"
"trollwhale","https://zapper.xyz/bundle/0x36ccdef4decfa6ae89707b1737e8fc56d275414f,0x9af0c21b8cecf84dad025b2fb47f54446df5d5f6,0x02ec5d07150c9a9ee740e828d8682d1aaa8d8731,0x96357756598b5e034aea83e9163bf5c6fd5f66ec,0xfad95b930336e53d4c881a2520e1544ee9b78bd8,0x15a4bc976bf38b8671e5d067a8c78d018fdbebc7,0xd459f91733db5ce4c5c88be9b0c97dc2156b3027,GybhvUZzTq4qYBc292dz4HE4oQPZJGC9xGJdEH9uYeHK,DiiPgS3RGknBDZU9B88xARjb3nJXg8tVuvMH1gT6y23P,0x3ff4885919aa025de3a75cc128cc87a212c13371?id=0xb92a0cae86dbae9ea9c6fe8c3ba28c83280eef5f&label=trollwhale&color=&tab=wallet"
